DateKey,Date,Day,DayAbbv,Month,MonthAbbv,MonthNum,Quarter,Year
20121219,2012-12-19,Wednesday,Wed,December,Dec,12,4,2012
20121220,2012-12-20,Thursday,Thu,December,Dec,12,4,2012
20121221,2012-12-21,Friday,Fri,December,Dec,12,4,2012
20121222,2012-12-22,Saturday,Sat,December,Dec,12,4,2012
20121223,2012-12-23,Sunday,Sun,December,Dec,12,4,2012
20121224,2012-12-24,Monday,Mon,December,Dec,12,4,2012
20121225,2012-12-25,Tuesday,Tue,December,Dec,12,4,2012
20121226,2012-12-26,Wednesday,Wed,December,Dec,12,4,2012
20121227,2012-12-27,Thursday,Thu,December,Dec,12,4,2012
20121228,2012-12-28,Friday,Fri,December,Dec,12,4,2012
20121229,2012-12-29,Saturday,Sat,December,Dec,12,4,2012
20121230,2012-12-30,Sunday,Sun,December,Dec,12,4,2012
20121231,2012-12-31,Monday,Mon,December,Dec,12,4,2012
20130101,2013-01-01,Tuesday,Tue,January,Jan,1,1,2013
20130102,2013-01-02,Wednesday,Wed,January,Jan,1,1,2013
20130103,2013-01-03,Thursday,Thu,January,Jan,1,1,2013
20130104,2013-01-04,Friday,Fri,January,Jan,1,1,2013
20130105,2013-01-05,Saturday,Sat,January,Jan,1,1,2013
20130106,2013-01-06,Sunday,Sun,January,Jan,1,1,2013
20130107,2013-01-07,Monday,Mon,January,Jan,1,1,2013
20130108,2013-01-08,Tuesday,Tue,January,Jan,1,1,2013
20130109,2013-01-09,Wednesday,Wed,January,Jan,1,1,2013
20130110,2013-01-10,Thursday,Thu,January,Jan,1,1,2013
20130111,2013-01-11,Friday,Fri,January,Jan,1,1,2013
20130112,2013-01-12,Saturday,Sat,January,Jan,1,1,2013
20130113,2013-01-13,Sunday,Sun,January,Jan,1,1,2013
20130114,2013-01-14,Monday,Mon,January,Jan,1,1,2013
20130115,2013-01-15,Tuesday,Tue,January,Jan,1,1,2013
20130116,2013-01-16,Wednesday,Wed,January,Jan,1,1,2013
20130117,2013-01-17,Thursday,Thu,January,Jan,1,1,2013
20130118,2013-01-18,Friday,Fri,January,Jan,1,1,2013
20130119,2013-01-19,Saturday,Sat,January,Jan,1,1,2013
20130120,2013-01-20,Sunday,Sun,January,Jan,1,1,2013
20130121,2013-01-21,Monday,Mon,January,Jan,1,1,2013
20130122,2013-01-22,Tuesday,Tue,January,Jan,1,1,2013
20130123,2013-01-23,Wednesday,Wed,January,Jan,1,1,2013
20130124,2013-01-24,Thursday,Thu,January,Jan,1,1,2013
20130125,2013-01-25,Friday,Fri,January,Jan,1,1,2013
20130126,2013-01-26,Saturday,Sat,January,Jan,1,1,2013
20130127,2013-01-27,Sunday,Sun,January,Jan,1,1,2013
20130128,2013-01-28,Monday,Mon,January,Jan,1,1,2013
20130129,2013-01-29,Tuesday,Tue,January,Jan,1,1,2013
20130130,2013-01-30,Wednesday,Wed,January,Jan,1,1,2013
20130131,2013-01-31,Thursday,Thu,January,Jan,1,1,2013
20130201,2013-02-01,Friday,Fri,February,Feb,2,1,2013
20130202,2013-02-02,Saturday,Sat,February,Feb,2,1,2013
20130203,2013-02-03,Sunday,Sun,February,Feb,2,1,2013
20130204,2013-02-04,Monday,Mon,February,Feb,2,1,2013
20130205,2013-02-05,Tuesday,Tue,February,Feb,2,1,2013
20130206,2013-02-06,Wednesday,Wed,February,Feb,2,1,2013
20130207,2013-02-07,Thursday,Thu,February,Feb,2,1,2013
20130208,2013-02-08,Friday,Fri,February,Feb,2,1,2013
20130209,2013-02-09,Saturday,Sat,February,Feb,2,1,2013
20130210,2013-02-10,Sunday,Sun,February,Feb,2,1,2013
20130211,2013-02-11,Monday,Mon,February,Feb,2,1,2013
20130212,2013-02-12,Tuesday,Tue,February,Feb,2,1,2013
20130213,2013-02-13,Wednesday,Wed,February,Feb,2,1,2013
20130214,2013-02-14,Thursday,Thu,February,Feb,2,1,2013
20130215,2013-02-15,Friday,Fri,February,Feb,2,1,2013
20130216,2013-02-16,Saturday,Sat,February,Feb,2,1,2013
20130217,2013-02-17,Sunday,Sun,February,Feb,2,1,2013
20130218,2013-02-18,Monday,Mon,February,Feb,2,1,2013
20130219,2013-02-19,Tuesday,Tue,February,Feb,2,1,2013
20130220,2013-02-20,Wednesday,Wed,February,Feb,2,1,2013
20130221,2013-02-21,Thursday,Thu,February,Feb,2,1,2013
